ano,matched_tokens,sum_polarity,mean_matched,mean_all,sentimento_diario_mean,sentimento_diario_total,sent_norm,sent_smooth,documento
2008,6877,7335,1.0665988076196,1.0665988076196,1.0665988076196,7335,0.962333215255638,,LDO
2009,7020,6496.2,0.925384615384615,0.925384615384615,0.925384615384615,6496.2,0.962333215255638,,LDO
2010,7585,6558.6,0.864680290046144,0.864680290046144,0.864680290046144,6558.6,0.962333215255638,0.962333215255638,LDO
2011,6420,7622.1,1.18724299065421,1.18724299065421,1.18724299065421,7622.1,0.962333215255638,0.962333215255638,LDO
2012,7381,6736.5,0.912681208508332,0.912681208508332,0.912681208508332,6736.5,0.962333215255638,0.962333215255638,LDO
2013,7421,6025.65,0.811972779948794,0.811972779948794,0.811972779948794,6025.65,0.962333215255638,0.962333215255638,LDO
2014,7760,5385.55,0.694014175257732,0.694014175257732,0.694014175257732,5385.55,0.962333215255638,0.962333215255638,LDO
2015,7696,5569.45,0.723681133056133,0.723681133056133,0.723681133056133,5569.45,0.962333215255638,0.962333215255638,LDO
2016,8820,5091.95,0.577318594104309,0.577318594104308,0.577318594104309,5091.95,0.962333215255638,0.962333215255638,LDO
2017,10083,3795.2,0.37639591391451,0.376395913914509,0.37639591391451,3795.2,0.962333215255638,0.962333215255638,LDO
2019,11394,4236.75,0.371840442338073,0.371840442338073,0.371840442338073,4236.75,0.962333215255638,0.962333215255638,LDO
2020,12827,3387.55,0.264095267794496,0.264095267794496,0.264095267794496,3387.55,0.962333215255638,0.962333215255638,LDO
2021,11850,3703.3,0.31251476793249,0.312514767932489,0.31251476793249,3703.3,0.962333215255638,0.962333215255638,LDO
2022,13259,3796.8,0.286356437137039,0.286356437137039,0.286356437137039,3796.8,0.962333215255638,0.962333215255638,LDO
2023,11072,4193.8,0.378775289017341,0.378775289017341,0.378775289017341,4193.8,0.962333215255638,0.962333215255638,LDO
2024,11898,5200.9,0.437123886367457,0.437123886367457,0.437123886367457,5200.9,0.962333215255638,0.962333215255638,LDO
2025,12311,4240.65,0.34446023881082,0.34446023881082,0.34446023881082,4240.65,0.962333215255638,0.962333215255638,LDO
2026,6488,6125.8,0.944173859432799,0.944173859432799,0.944173859432799,6125.8,0.962333215255638,0.962333215255638,LDO
2008,1092369,2318959.049999997,2.122871529675409,2.1228715296754115,2.122871529675409,2318959.049999997,0.32670361243999835,,LOA
2009,1051489,1722858.3499999917,1.638493935742544,1.6384939357425543,1.638493935742544,1722858.3499999917,0.32670361243999835,,LOA
2010,1125750,1225775.9499999958,1.0888527204086127,1.0888527204086147,1.0888527204086127,1225775.9499999958,0.32670361243999835,0.32670361243999835,LOA
2011,1230365,2952734.849999995,2.399885277945972,2.3998852779459736,2.399885277945972,2952734.849999995,0.32670361243999835,0.32670361243999835,LOA
2012,3991451,7098051.450000087,1.7783135631628917,1.7783135631628684,1.7783135631628917,7098051.450000087,0.32670361243999835,0.32670361243999835,LOA
2013,1730922,2457024.2499999935,1.419488717573636,1.4194887175736393,1.419488717573636,2457024.2499999935,0.32670361243999835,0.32670361243999835,LOA
2014,1786622,2739214.8499999964,1.5331809694496072,1.5331809694496097,1.5331809694496072,2739214.8499999964,0.32670361243999835,0.32670361243999835,LOA
2015,1863103,3067453.6999999937,1.6464219637883648,1.646421963788368,1.6464219637883648,3067453.6999999937,0.32670361243999835,0.32670361243999835,LOA
2016,1949789,3844108.9499999946,1.971551255033234,1.971551255033235,1.971551255033234,3844108.9499999946,0.32670361243999835,0.32670361243999835,LOA
2017,1954053,3853746.45,1.9721811281474964,1.972181128147498,1.9721811281474964,3853746.45,0.32670361243999835,0.32670361243999835,LOA
2018,1929984,3051332.299999997,1.5810142985641311,1.5810142985641331,1.5810142985641311,3051332.299999997,0.32670361243999835,0.32670361243999835,LOA
2019,1873071,3070749.3499999973,1.63941962157334,1.6394196215733403,1.63941962157334,3070749.3499999973,0.32670361243999835,0.32670361243999835,LOA
2020,2013489,4570057.15,2.269720445455625,2.2697204454556243,2.269720445455625,4570057.15,0.32670361243999835,0.32670361243999835,LOA
2021,1951030,3782177.399999996,1.938554199576632,1.9385541995766344,1.938554199576632,3782177.399999996,0.32670361243999835,0.32670361243999835,LOA
2022,2068668,4502816.249999991,2.1766741932489846,2.1766741932489904,2.1766741932489846,4502816.249999991,0.32670361243999835,0.32670361243999835,LOA
2023,1841301,4275542.999999996,2.322022852320178,2.322022852320181,2.322022852320178,4275542.999999996,0.32670361243999835,0.32670361243999835,LOA
2024,1768279,3462869.049999994,1.9583273058154251,1.958327305815428,1.9583273058154251,3462869.049999994,0.32670361243999835,0.32670361243999835,LOA
2025,1731636,3282733.099999996,1.8957408485386051,1.8957408485386071,1.8957408485386051,3282733.099999996,0.32670361243999835,0.32670361243999835,LOA
2026,1486310,2519021.1499999985,1.6948154489978526,1.6948154489978535,1.6948154489978526,2519021.1499999985,0.32670361243999835,0.32670361243999835,LOA
2008,16475,4148.15,0.251784522003035,0.251784522003035,0.251784522003035,4148.15,0.0610129728775666,,PPA
2009,159,0,0,0,0,0,0.0610129728775666,,PPA
2010,151,0,0,0,0,0,0.0610129728775666,0.0610129728775666,PPA
2011,9708,3047.9,0.313957560774619,0.313957560774619,0.313957560774619,3047.9,0.0610129728775666,0.0610129728775666,PPA
2012,39207,14774.85,0.376842145535236,0.376842145535236,0.376842145535236,14774.85,0.0610129728775666,0.0610129728775666,PPA
2013,17115,931.8,0.0544434706397897,0.0544434706397897,0.0544434706397897,931.8,0.0610129728775666,0.0610129728775666,PPA
2014,17284,4693.05,0.271525688498033,0.271525688498033,0.271525688498033,4693.05,0.0610129728775666,0.0610129728775666,PPA
2015,16814,4771.2,0.283763530391341,0.283763530391341,0.283763530391341,4771.2,0.0610129728775666,0.0610129728775666,PPA
2016,98923,57973.1,0.586042679659938,0.586042679659938,0.586042679659938,57973.1,0.0610129728775666,0.0610129728775666,PPA
2017,83178,44595.35,0.536143571617495,0.536143571617495,0.536143571617495,44595.35,0.0610129728775666,0.0610129728775666,PPA
2018,86926,46773.2,0.538080666313876,0.538080666313876,0.538080666313876,46773.2,0.0610129728775666,0.0610129728775666,PPA
2019,89430,46008.3,0.514461590070446,0.514461590070446,0.514461590070446,46008.3,0.0610129728775666,0.0610129728775666,PPA
2020,89126,28941.7,0.324727913291296,0.324727913291295,0.324727913291296,28941.7,0.0610129728775666,0.0610129728775666,PPA
2021,79656,42477.7,0.533264286431656,0.533264286431656,0.533264286431656,42477.7,0.0610129728775666,0.0610129728775666,PPA
2022,82713,46181.2,0.558330613083796,0.558330613083796,0.558330613083796,46181.2,0.0610129728775666,0.0610129728775666,PPA
2023,78980,43324.85,0.548554697391745,0.548554697391745,0.548554697391745,43324.85,0.0610129728775666,0.0610129728775666,PPA
2024,110519,67988,0.615170242220795,0.615170242220795,0.615170242220795,67988,0.0610129728775666,0.0610129728775666,PPA
2025,96835,58858.4,0.607821552124748,0.607821552124748,0.607821552124748,58858.4,0.0610129728775666,0.0610129728775666,PPA
2026,90975,53751.3,0.590835943940643,0.590835943940643,0.590835943940643,53751.3,0.0610129728775666,0.0610129728775666,PPA
